Parent_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
transcript:ENSDART00000003907	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003913	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003922	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003926	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003929	0	0	1	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003932	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003939	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003940	0	1	1	1	1	0	0	0	0	0	0	0
transcript:ENSDART00000003946	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003947	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003954	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003957	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003962	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003978	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003983	0	0	0	0	1	0	0	0	0	0	0	0
transcript:ENSDART00000003993	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000003998	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004031	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004034	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004041	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004043	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004052	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004062	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004065	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004071	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004075	0	0	0	0	3	0	0	0	1	0	0	0
transcript:ENSDART00000004092	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004109	0	1	4	0	3	1	0	0	0	0	0	0
transcript:ENSDART00000004120	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004122	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004181	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004188	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004200	0	0	0	0	1	0	0	0	0	0	0	0
transcript:ENSDART00000004217	0	0	0	0	0	0	0	0	0	0	1	0
transcript:ENSDART00000004220	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004222	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004233	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004238	0	0	9	2	0	0	2	0	1	0	9	2
transcript:ENSDART00000004240	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004273	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004277	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004284	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004286	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004288	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004295	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004333	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004338	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004361	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004365	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004379	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004389	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004392	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004398	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004420	0	0	0	0	0	0	0	0	0	0	1	0
transcript:ENSDART00000004423	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004424	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004462	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004474	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004483	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004504	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004514	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004518	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004521	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004533	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004539	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004548	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004550	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004585	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004588	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004601	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004604	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004622	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004625	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004626	0	0	2	1	1	1	0	0	0	0	0	0
transcript:ENSDART00000004655	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004656	0	0	0	1	1	0	0	0	0	0	0	0
transcript:ENSDART00000004664	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004679	0	0	6	1	2	1	0	0	2	1	7	3
transcript:ENSDART00000004686	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004712	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004716	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004717	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004727	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004739	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004740	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004742	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004745	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004751	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004756	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004769	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004771	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004780	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004782	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004797	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004812	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004842	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004848	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004871	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004879	0	0	0	0	0	0	0	0	1	0	0	0
transcript:ENSDART00000004896	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004899	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004903	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004920	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004923	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004964	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000004984	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005004	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005015	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005021	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005025	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005033	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005053	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005067	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005086	1	7	20	4	29	9	0	0	0	0	0	0
transcript:ENSDART00000005090	0	0	1	0	1	0	0	0	0	0	0	0
transcript:ENSDART00000005105	0	0	0	0	1	0	0	0	0	0	0	0
transcript:ENSDART00000005112	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005118	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005119	1	0	1	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005127	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005140	0	1	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005143	0	0	0	0	1	0	0	0	0	0	0	0
transcript:ENSDART00000005145	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005158	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005168	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005191	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005195	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005221	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005255	0	0	4	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005263	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005292	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005296	0	0	0	0	0	0	0	0	0	0	0	0
transcript:ENSDART00000005299	0	0	0	0	0	0	0	0	0	0	0	0
